date,soil_moisture,temperature_C,water_required_mm
2024-01-01,0.265,15.45,3.5
2024-01-02,0.247,15.2,5.3
2024-01-03,0.272,15.54,2.8
2024-01-04,0.3,13.97,0.0
2024-01-05,0.248,15.74,5.2
2024-01-06,0.249,16.86,5.1
2024-01-07,0.305,18.93,0.9
2024-01-08,0.282,18.12,2.0
2024-01-09,0.246,20.68,9.4
2024-01-10,0.278,15.01,2.2
2024-01-11,0.249,18.46,5.8
2024-01-12,0.25,17.25,5.0
2024-01-13,0.273,21.43,7.9
2024-01-14,0.209,15.6,9.1
2024-01-15,0.216,15.71,8.4
2024-01-16,0.252,16.35,4.8
2024-01-17,0.24,13.47,6.0
2024-01-18,0.281,16.83,1.9
2024-01-19,0.245,16.53,5.5
2024-01-20,0.231,18.51,7.7
2024-01-21,0.319,19.06,0.0
2024-01-22,0.269,22.29,9.5
2024-01-23,0.279,20.6,6.0
2024-01-24,0.235,17.7,6.5
2024-01-25,0.263,17.22,3.7
2024-01-26,0.283,20.16,4.9
2024-01-27,0.247,16.69,5.3
2024-01-28,0.293,23.15,8.4
2024-01-29,0.265,21.99,9.5
2024-01-30,0.275,18.85,3.7
2024-01-31,0.267,16.51,3.3
2024-02-01,0.341,22.79,3.0
2024-02-02,0.286,20.01,4.4
2024-02-03,0.256,22.86,11.7
2024-02-04,0.313,17.34,0.0
2024-02-05,0.253,19.47,6.9
2024-02-06,0.296,20.82,4.6
2024-02-07,0.232,21.04,11.4
2024-02-08,0.252,20.18,8.1
2024-02-09,0.298,22.47,6.9
2024-02-10,0.315,19.22,0.3
2024-02-11,0.299,21.2,4.9
2024-02-12,0.291,21.86,6.7
2024-02-13,0.286,22.77,8.6
2024-02-14,0.251,23.29,12.8
2024-02-15,0.274,19.75,5.2
2024-02-16,0.283,19.05,3.3
2024-02-17,0.329,24.79,7.3
2024-02-18,0.308,23.02,6.8
2024-02-19,0.245,20.97,10.0
2024-02-20,0.308,25.69,10.8
2024-02-21,0.287,22.93,8.7
2024-02-22,0.278,25.16,12.9
2024-02-23,0.317,23.04,5.8
2024-02-24,0.33,27.14,10.7
2024-02-25,0.327,26.63,10.2
2024-02-26,0.274,22.72,9.6
2024-02-27,0.29,25.25,11.8
2024-02-28,0.31,24.7,9.1
2024-02-29,0.329,26.24,9.4
2024-03-01,0.286,21.66,6.9
2024-03-02,0.294,25.05,11.1
2024-03-03,0.267,25.88,15.1
2024-03-04,0.264,20.32,7.1
2024-03-05,0.324,21.55,2.9
2024-03-06,0.34,19.92,0.0
2024-03-07,0.297,23.53,8.6
2024-03-08,0.329,25.58,8.4
2024-03-09,0.31,27.21,12.8
2024-03-10,0.28,24.42,11.7
2024-03-11,0.309,27.6,13.4
2024-03-12,0.344,21.64,1.0
2024-03-13,0.297,21.05,4.9
2024-03-14,0.344,24.4,5.1
2024-03-15,0.219,25.33,19.1
2024-03-16,0.321,24.55,7.7
2024-03-17,0.299,20.52,3.9
2024-03-18,0.287,24.52,11.1
2024-03-19,0.298,22.13,6.4
2024-03-20,0.235,26.12,18.7
2024-03-21,0.287,25.55,12.6
2024-03-22,0.304,22.96,7.0
2024-03-23,0.337,23.85,5.1
2024-03-24,0.276,22.78,9.5
2024-03-25,0.267,24.8,13.5
2024-03-26,0.276,26.85,15.7
2024-03-27,0.317,22.99,5.8
2024-03-28,0.299,25.98,12.1
2024-03-29,0.272,23.92,11.7
2024-03-30,0.303,23.41,7.8
2024-03-31,0.289,24.78,11.2
2024-04-01,0.315,22.93,5.9
2024-04-02,0.264,23.89,12.5
2024-04-03,0.274,22.6,9.5
2024-04-04,0.271,28.92,19.3
2024-04-05,0.238,25.05,16.8
2024-04-06,0.29,23.57,9.4
2024-04-07,0.288,25.38,12.3
2024-04-08,0.279,24.71,12.2
2024-04-09,0.271,24.47,12.6
2024-04-10,0.234,26.12,18.8
2024-04-11,0.263,26.37,16.3
2024-04-12,0.264,23.77,12.2
2024-04-13,0.249,23.64,13.6
2024-04-14,0.267,24.21,12.6
2024-04-15,0.283,20.12,4.9
2024-04-16,0.326,21.65,2.8
2024-04-17,0.274,27.37,16.7
2024-04-18,0.275,27.88,17.3
2024-04-19,0.264,24.04,12.7
2024-04-20,0.207,25.64,20.7
2024-04-21,0.263,25.05,14.3
2024-04-22,0.264,30.53,22.4
2024-04-23,0.335,26.55,9.3
2024-04-24,0.254,23.99,13.6
2024-04-25,0.268,22.26,9.6
2024-04-26,0.256,20.89,8.7
2024-04-27,0.221,24.44,17.6
2024-04-28,0.289,22.45,7.8
2024-04-29,0.276,21.04,7.0
2024-04-30,0.276,22.51,9.2
2024-05-01,0.224,21.55,13.0
2024-05-02,0.292,27.01,14.3
2024-05-03,0.206,25.31,20.3
2024-05-04,0.265,23.44,11.7
2024-05-05,0.311,26.32,11.3
2024-05-06,0.215,23.42,16.7
2024-05-07,0.226,21.44,12.5
2024-05-08,0.245,26.11,17.7
2024-05-09,0.225,24.04,16.5
2024-05-10,0.193,20.78,14.9
2024-05-11,0.24,22.37,12.5
2024-05-12,0.205,20.89,13.8
2024-05-13,0.25,19.76,7.7
2024-05-14,0.207,24.26,18.7
2024-05-15,0.28,26.11,14.2
2024-05-16,0.208,19.38,11.2
2024-05-17,0.221,23.18,15.7
2024-05-18,0.254,20.63,8.6
2024-05-19,0.191,20.83,15.1
2024-05-20,0.234,20.5,10.3
2024-05-21,0.265,19.82,6.2
2024-05-22,0.177,21.52,17.6
2024-05-23,0.229,19.63,9.5
2024-05-24,0.231,21.69,12.5
2024-05-25,0.245,20.92,9.9
2024-05-26,0.184,20.4,15.2
2024-05-27,0.18,18.92,13.4
2024-05-28,0.234,19.44,8.7
2024-05-29,0.226,21.96,13.3
2024-05-30,0.224,21.31,12.6
2024-05-31,0.226,18.21,7.7
2024-06-01,0.194,20.21,13.9
2024-06-02,0.221,21.37,13.0
2024-06-03,0.222,16.37,7.8
2024-06-04,0.191,20.65,14.9
2024-06-05,0.267,18.08,3.4
2024-06-06,0.225,20.39,11.1
2024-06-07,0.174,17.57,12.6
2024-06-08,0.229,15.33,7.1
2024-06-09,0.179,15.52,12.1
2024-06-10,0.231,18.71,8.0
2024-06-11,0.242,18.98,7.3
2024-06-12,0.182,16.49,11.8
2024-06-13,0.234,19.41,8.7
2024-06-14,0.217,14.64,8.3
2024-06-15,0.229,17.67,7.1
2024-06-16,0.261,15.21,3.9
2024-06-17,0.196,16.17,10.4
2024-06-18,0.18,17.4,12.0
2024-06-19,0.176,15.41,12.4
2024-06-20,0.178,16.2,12.2
2024-06-21,0.2,18.81,11.3
2024-06-22,0.212,15.47,8.8
2024-06-23,0.21,18.13,9.2
2024-06-24,0.226,14.03,7.4
2024-06-25,0.201,17.18,9.9
2024-06-26,0.244,18.83,6.8
2024-06-27,0.192,10.83,10.8
2024-06-28,0.282,14.01,1.8
2024-06-29,0.219,16.58,8.1
2024-06-30,0.174,14.85,12.6
2024-07-01,0.168,15.83,13.2
2024-07-02,0.214,13.71,8.6
2024-07-03,0.193,14.91,10.7
2024-07-04,0.222,14.26,7.8
2024-07-05,0.214,16.73,8.6
2024-07-06,0.198,14.73,10.2
2024-07-07,0.175,14.73,12.5
2024-07-08,0.155,13.06,14.5
2024-07-09,0.188,12.74,11.2
2024-07-10,0.227,12.68,7.3
2024-07-11,0.208,14.16,9.2
2024-07-12,0.164,12.36,13.6
2024-07-13,0.207,13.61,9.3
2024-07-14,0.214,17.02,8.6
2024-07-15,0.176,14.44,12.4
2024-07-16,0.208,11.88,9.2
2024-07-17,0.206,14.77,9.4
2024-07-18,0.17,11.38,13.0
2024-07-19,0.216,7.96,8.4
2024-07-20,0.222,9.85,7.8
2024-07-21,0.239,7.96,6.1
2024-07-22,0.238,10.84,6.2
2024-07-23,0.166,11.42,13.4
2024-07-24,0.18,14.58,12.0
2024-07-25,0.224,11.72,7.6
2024-07-26,0.225,10.47,7.5
2024-07-27,0.226,12.41,7.4
2024-07-28,0.327,6.17,0.0
2024-07-29,0.229,10.91,7.1
2024-07-30,0.247,11.83,5.3
2024-07-31,0.242,7.18,5.8
2024-08-01,0.234,12.28,6.6
2024-08-02,0.206,10.52,9.4
2024-08-03,0.239,8.86,6.1
2024-08-04,0.194,10.81,10.6
2024-08-05,0.211,13.95,8.9
2024-08-06,0.205,9.63,9.5
2024-08-07,0.223,9.62,7.7
2024-08-08,0.291,8.07,0.9
2024-08-09,0.167,7.15,13.3
2024-08-10,0.244,10.37,5.6
2024-08-11,0.177,6.87,12.3
2024-08-12,0.212,8.59,8.8
2024-08-13,0.26,7.36,4.0
2024-08-14,0.23,9.15,7.0
2024-08-15,0.197,8.73,10.3
2024-08-16,0.209,10.02,9.1
2024-08-17,0.252,6.8,4.8
2024-08-18,0.211,7.16,8.9
2024-08-19,0.241,5.63,5.9
2024-08-20,0.237,6.58,6.3
2024-08-21,0.217,8.12,8.3
2024-08-22,0.302,8.77,0.0
2024-08-23,0.258,5.3,4.2
2024-08-24,0.18,8.78,12.0
2024-08-25,0.247,9.65,5.3
2024-08-26,0.223,7.66,7.7
2024-08-27,0.27,10.49,3.0
2024-08-28,0.222,5.09,7.8
2024-08-29,0.244,4.06,5.6
2024-08-30,0.263,2.9,3.7
2024-08-31,0.276,9.36,2.4
2024-09-01,0.215,7.59,8.5
2024-09-02,0.242,6.09,5.8
2024-09-03,0.239,6.68,6.1
2024-09-04,0.235,3.79,6.5
2024-09-05,0.309,10.86,0.0
2024-09-06,0.269,6.15,3.1
2024-09-07,0.221,6.04,7.9
2024-09-08,0.287,7.21,1.3
2024-09-09,0.325,6.65,0.0
2024-09-10,0.293,6.08,0.7
2024-09-11,0.218,3.99,8.2
2024-09-12,0.25,6.46,5.0
2024-09-13,0.304,9.23,0.0
2024-09-14,0.246,8.1,5.4
2024-09-15,0.282,8.55,1.8
2024-09-16,0.293,4.3,0.7
2024-09-17,0.243,3.3,5.7
2024-09-18,0.27,4.99,3.0
2024-09-19,0.176,5.32,12.4
2024-09-20,0.244,7.36,5.6
2024-09-21,0.268,1.76,3.2
2024-09-22,0.239,8.17,6.1
2024-09-23,0.327,4.77,0.0
2024-09-24,0.236,4.21,6.4
2024-09-25,0.267,3.02,3.3
2024-09-26,0.285,1.72,1.5
2024-09-27,0.325,6.67,0.0
2024-09-28,0.24,5.16,6.0
2024-09-29,0.319,2.42,0.0
2024-09-30,0.285,2.41,1.5
2024-10-01,0.256,4.33,4.4
2024-10-02,0.3,8.34,0.0
2024-10-03,0.293,4.49,0.7
2024-10-04,0.27,2.01,3.0
2024-10-05,0.291,4.54,0.9
2024-10-06,0.278,4.5,2.2
2024-10-07,0.294,-0.34,0.6
2024-10-08,0.311,4.97,0.0
2024-10-09,0.34,4.64,0.0
2024-10-10,0.256,6.52,4.4
2024-10-11,0.357,8.85,0.0
2024-10-12,0.235,7.44,6.5
2024-10-13,0.29,4.68,1.0
2024-10-14,0.313,3.05,0.0
2024-10-15,0.304,10.45,0.0
2024-10-16,0.278,5.46,2.2
2024-10-17,0.29,5.42,1.0
2024-10-18,0.282,5.39,1.8
2024-10-19,0.28,5.89,2.0
2024-10-20,0.323,5.26,0.0
2024-10-21,0.309,4.45,0.0
2024-10-22,0.278,4.57,2.2
2024-10-23,0.326,5.66,0.0
2024-10-24,0.308,4.7,0.0
2024-10-25,0.324,4.43,0.0
2024-10-26,0.318,6.14,0.0
2024-10-27,0.275,5.49,2.5
2024-10-28,0.283,9.09,1.7
2024-10-29,0.322,0.86,0.0
2024-10-30,0.318,8.42,0.0
2024-10-31,0.299,8.82,0.1
2024-11-01,0.304,2.27,0.0
2024-11-02,0.338,5.82,0.0
2024-11-03,0.282,5.85,1.8
2024-11-04,0.316,3.87,0.0
2024-11-05,0.294,5.23,0.6
2024-11-06,0.293,4.66,0.7
2024-11-07,0.332,10.49,0.0
2024-11-08,0.324,8.96,0.0
2024-11-09,0.323,9.74,0.0
2024-11-10,0.338,8.75,0.0
2024-11-11,0.299,5.16,0.1
2024-11-12,0.318,6.48,0.0
2024-11-13,0.288,8.62,1.2
2024-11-14,0.307,5.32,0.0
2024-11-15,0.292,9.31,0.8
2024-11-16,0.299,7.52,0.1
2024-11-17,0.313,7.38,0.0
2024-11-18,0.27,9.68,3.0
2024-11-19,0.357,9.27,0.0
2024-11-20,0.263,7.79,3.7
2024-11-21,0.257,10.96,4.3
2024-11-22,0.327,6.62,0.0
2024-11-23,0.315,10.15,0.0
2024-11-24,0.31,10.24,0.0
2024-11-25,0.309,8.57,0.0
2024-11-26,0.289,9.99,1.1
2024-11-27,0.262,6.97,3.8
2024-11-28,0.29,11.47,1.0
2024-11-29,0.266,9.4,3.4
2024-11-30,0.315,8.87,0.0
2024-12-01,0.281,12.16,1.9
2024-12-02,0.259,8.8,4.1
2024-12-03,0.273,7.55,2.7
2024-12-04,0.294,7.4,0.6
2024-12-05,0.264,11.88,3.6
2024-12-06,0.255,8.27,4.5
2024-12-07,0.286,14.49,1.4
2024-12-08,0.285,6.98,1.5
2024-12-09,0.262,14.7,3.8
2024-12-10,0.262,11.89,3.8
2024-12-11,0.282,11.43,1.8
2024-12-12,0.23,10.7,7.0
2024-12-13,0.23,12.75,7.0
2024-12-14,0.25,12.04,5.0
2024-12-15,0.264,14.49,3.6
2024-12-16,0.278,12.67,2.2
2024-12-17,0.312,12.91,0.0
2024-12-18,0.292,12.05,0.8
2024-12-19,0.26,12.84,4.0
2024-12-20,0.263,13.73,3.7
2024-12-21,0.233,9.87,6.7
2024-12-22,0.261,10.76,3.9
2024-12-23,0.252,15.11,4.8
2024-12-24,0.269,14.14,3.1
2024-12-25,0.233,13.6,6.7
2024-12-26,0.272,14.18,2.8
2024-12-27,0.301,15.01,0.0
2024-12-28,0.251,13.4,4.9
2024-12-29,0.265,13.1,3.5
2024-12-30,0.272,15.22,2.8
2024-12-31,0.238,13.04,6.2
